id,firm,date_review,job_title,location,overall_rating,headline,pros,cons
401855,IHG-Hotels-and-Resorts,18/03/2014, Personal Assistant,"Denham, South East England, England, England",4,IHG,"Great people, country location, good advancement, training","No where nice to eat, quite secluded location"
401856,IHG-Hotels-and-Resorts,07/06/2014, Food and Beverage Team Member,"Oxford, England, England",2,good environment to work but low wage at all,"People are very nice to work with, benefit u can get less than half price to book their own hotel, they try to do somethings to meet staff needs like flexible timetable.","the hotel i am working is extremely busy, we work hard but always do not get much support. with low wage min wage! company take the money from your service charges."
401857,IHG-Hotels-and-Resorts,21/07/2014, Food and Beverage Team Member,"Guildford, England, England",4,Nice place to work,"- Strong culture
- Friendly working environment
- Fairly effective management team
- Opportunities and potential (many hotels within the group worldwide)
- Role flexibility","- Low pay (basic wage)
- Only short breaks allowed that don't count towards pay
- Long working hours
- Lack of technology that would make employees' job easier"
401858,IHG-Hotels-and-Resorts,22/07/2014, Assistant Front Office Manager,"London, England, England",4,assistant front office manager,it is a great hotel chain,no day is the same
401859,IHG-Hotels-and-Resorts,02/08/2014, Staff,"Stevenage, England, England",1,Going  down...,Part of bigger chain of hotels.,"Bad salary,  bad management. The GM tells  us  how much profit the owner  is  making  but at the  same  time  our  salaries  are on minimum. He  drinks and attends parties a   lot  when  we  are  working and that makes us  feel bad."
401860,IHG-Hotels-and-Resorts,01/10/2014, Manager,"Denham, South East England, England, England",5,World class employer with truly global career opportunities,"The culture at IHG is unique. The company actively encourages its employees have 'room to be yourself' so there is a great work/life balance.

Career growth is actively encouraged and with hard work, you can have a long and successful career with a growing and successful business.",Global collaboration can sometimes be challenging with current systems and technologies but the business is making positive steps to ensure all employees globally feel included.
401861,IHG-Hotels-and-Resorts,02/10/2014, Key Account Manager,"Denham, South East England, England, England",3,Micromanagement,Work life balance is great,"No real career opportunities, they promise a lot but nothing ever happens"
401862,IHG-Hotels-and-Resorts,22/12/2014, Reservations Agent,"Brierley Hill, England, England",1,A company full of lies...,Good salary & very good hype at the start..Winning Ways of the company,Being absolutely mislead..Sacking 12+ employees for the most spurious of reasons 2 weeks before Christmas! Show we care - NOT!!
401863,IHG-Hotels-and-Resorts,14/01/2015, Reservations Specialist,"Brierley Hill, England, England",1,Soul Less Company,"At the beginning they really sell the company to you how great it is, how unique they are.  It`s very convincing!","The hours of work are totally unflexible, workforce are meant to be there to help people but all they do is hinder.  The people working in Brierley Hill are very clicky you cant say anything to anyone without it getting back to someone.  Once training is complete and you're on the phones it is not made clear what is needed to pass training or probation the more you ask the more they hide from you.  It`s a very if your face fits you will get on company.  I have heard 12 possibly more employees were sacked before Christmas for ridiculous reasons.  This is not a way to treat employees and leaving them feeing uncertain if they are going to have a job when they come in the next day.  Winning ways I think not!"
401864,IHG-Hotels-and-Resorts,29/03/2015, Reservation Sales Agent,"Brierley Hill, England, England",1,Worst company I have ever worked for.,Training staff were lovely. Good location.,"unobtainable targets, no guidance after training, unexperienced team leaders."
401865,IHG-Hotels-and-Resorts,19/05/2015, Anonymous Employee,"London, England, England",1,Great values lines but they don't live up to them,Ability to move around the organisation if the right people like you.  Room discounts at some hotels based on availability.,"The egos of the senior leadership team.  There is so much time spent positioning and building empires - it is shocking that much work gets done.  The business has produced records profits whilst the franchisees struggle to make money.  During the downturn in the economy, the corporate office cut cost and put that to their bottom line.  The right thing to do would be to pass some of the savings to the hotels.  The senior leadership team is ONLY interested in building value of stock because their stock options are so high and they have become personally wealthy off the hard work of the hotels."
401866,IHG-Hotels-and-Resorts,28/05/2015, QA Test Analyst,"Denham, South East England, England, England",4,IHG review,"Good place to work, friendly & helpful team members",None I can think of
401867,IHG-Hotels-and-Resorts,10/06/2015, Sales Representative,"Denham, South East England, England, England",3,hospitality dynamics,one of the biggest hotels series wold wide ... to be the best you have to work with the best,no thing ... everything organized everyone in his place > > > > > > > > >>
401868,IHG-Hotels-and-Resorts,11/06/2015, Corporate Human Resources,"Denham, South East England, England, England",4,Their Employees and Guests are at the heart of everything the Company does!,"Training and development available
Generous benefits, including heavily discounted Employee Room rate (globally)
Team spirit - feeling included, part of something great
Celebrate success together","Availability of roles (if you are looking to be promoted)
Communication does not always filter through
Succession/Talent Planning only goes down to Manager-level at the moment. Lower level roles would benefit and be motivated by knowing the Company is considering them for bigger roles"
401869,IHG-Hotels-and-Resorts,15/06/2015, Sales Coordinator,"Denham, South East England, England, England",5,Sales Coordinator,Top Employer. Employee benefits and packages. Strong values. Career opportunities,No cons for working for Intercontinental Hotel Group
401870,IHG-Hotels-and-Resorts,26/06/2015, MyHR Continuous Improvement,"Denham, South East England, England, England",5,A great place to work,"Fantastic employee benefits such as huge discounts on hotel room rates, competitive salary and excellent development opportunities. Culturally, we have a warm and friendly working environment.","For me, the only downside is that the HQ where I'm based is not in central London, so it's not great for socialising with colleagues after work."
401871,IHG-Hotels-and-Resorts,21/07/2015, ,"London, England, England",4,IHG UK,The hotels I worked for in UK where a very pleasant places to work at. The teams very always trying to create the most likable environment. If you are a solid person you will be rewarded and appreciated,Downside of working in hospitality industry is that the wages are not the greates
401872,IHG-Hotels-and-Resorts,23/07/2015, Sales Agent,"Brierley Hill, England, England",1,IHG Not recomanded,Shift swap is the best thing,"As lots of big businesses, you are considered as a number a little mistake and you gone, means you mean nothing to them your hard work is not appreciated."
401873,IHG-Hotels-and-Resorts,01/08/2015, Housekeeper,"London, England, England",5,"My employment in Intercontinental Park Lane, London","The company give you a little points as different activities for teambuilding which creates good working environment as: bowling, pizza, parachutism, english course but the worst thing was that can't participate because the some of the activities can participate just the permanent staff and I wasn't the permanent staff because I didn't wanted it. if I have opportunity to come back again for work I will do it but in  housekeeping department.",I left because they didn't give me a lot of chance for development just promises and I was working for them more than 2 years this make me sad because I really like it and I wanted to development myself in this company. It is really hard for work in the houskeeping department.
401874,IHG-Hotels-and-Resorts,01/08/2015, Revenue Manager,"Denham, South East England, England, England",4,Good company to work with.,Good company to work with.Great environment,no such cons i came across
401875,IHG-Hotels-and-Resorts,05/08/2015, Anonymous Employee,"Derby, England, England",5,IHG,"Employee rates worldwide, Anniversary weekend benefits.   Benefits can depend on which Franchise you work for, but generally they are good compared to other hotel brands.","Hotel work can involve long hours, but if you have a passion for hospitality, this should be ok."
401876,IHG-Hotels-and-Resorts,11/08/2015, Sales Reservation Consultant,"Stourbridge, England, England",3,if your face don't fit...,"Decent salary
Good company benefits(50% discount) 
Encourage growth/promotion","Long hours
Hard sell
Targets not met, you're out"
401877,IHG-Hotels-and-Resorts,01/09/2015, ,"Denham, South East England, England, England",5,Product Management,"Work Life Balance, Compensation Package, Genuinely build relationships with people I work with and when we work we strive to do the best job",at the senior level management office politics can be high.
401878,IHG-Hotels-and-Resorts,23/09/2015, Reservations Manager,"London, England, England",3,Reservations manager,International company. Opportunities to progress in the company.,Make you work to no end making it impossible for you to balance work and home life.  Mentally tourturing n sly
401879,IHG-Hotels-and-Resorts,07/10/2015, Anonymous Employee,"London, England, England",5,Great company for building your career,"- Training and Development widely available
- Flexible working approach and good realistic understanding of the work/life balance
- Bi-Annual Employee Satisfaction surveys which are acted upon
- Generous Pension Scheme","- Opportunities for progression can be limited due to long service of employees
- Employee Benefit of staff rate at hotels has been reduced over the years (changed to flexible pricing discount)  and not as much as a benefit as it once was, especially in major cities"
401880,IHG-Hotels-and-Resorts,24/10/2015, ,"Denham, South East England, England, England",5,Great Company,Full Time Hours Over time if you like. holiday and vacation pay great benefits. time to spend with family. Opportunity to advance.,I Do Not have any cons.
401881,IHG-Hotels-and-Resorts,31/10/2015, Conference & Events Sales Coordinator,"Denham, South East England, England, England",4,Short Review of IHG,Staff perks. Supportive in Career Development,i have none to specify
401882,IHG-Hotels-and-Resorts,02/11/2015, Food and Beverage Supervisor,"Denham, South East England, England, England",2,F&B supervisor,- Can't think of any,"- Low salary
- Not a motivating or nice working environment
- Lots of people not caring about their job and majority not caring at all about the guests"
401883,IHG-Hotels-and-Resorts,05/11/2015, Global Employer Brand Manager,"Denham, South East England, England, England",4,Great development opportunities and a culture of recognition,"IHG is a great place to work if you're looking for a really rewarding and fulfilling career. There's a lot of potential to develop yourself, if you're keen and willing to put the effort in, and look at the areas you want to grow. With IHG being such a large, global organisation, there's so much to learn but the possibilities seem endless and you'll be supported. 

There's a number of challenging and exciting projects to get your teeth into and really make your mark on. You'll be rewarded and recognised for the great work that you do, not only from your line manger and team, but from Senior Leaders in the business on a 1:1 level. There's also the added benefits of great facilities, including a gym, Starbucks, flexible working hours, private health care and bonus plans.","Location - Commuting from London everyday can be tiring, but flexible working allows you to work from home when you need to and work around the hours that suit you to do your job. The location is in a beautiful setting and if you wish to go into town on your lunch hour there is a free shuttle service."
401884,IHG-Hotels-and-Resorts,05/11/2015, Global Human Resources & Resourcing,"Denham, South East England, England, England",4,IHG Review,"There is a culture of team work and cooperation within the office, the people are fantastic and welcoming. As an employer IHG care about your career development and provide regular meetings to make sure you stay on track with it. They're quick to notice when you're doing well and reward you for good performance.

The onsite free (and secure) parking, gym and restaurant are a great bonus and highly convenient. There seems to be a lot cakes going around so the gym is a welcome perk!","It's a fast-paced, constantly changing environment and you don't get too long to absorb and learn from a project before moving on to the next. However, this may be a 'pro' to some people that like this style of working."
401885,IHG-Hotels-and-Resorts,06/11/2015, Key Account Manager,"Denham, South East England, England, England",5,Fantastic Place to Work,"Excellent Work / Life balance in the IHG Corporate Offices at Denham.

Good Employee Benefits. Healthcare, Pension, Gym, Subsidised Meals, Staff Rates etc.

As a large organisation there is the chance to keep things fresh by moving into other departments for a career change, but staying within same company.",The location of IHG Denham is a long commute for those in Central London. It is made easier by IHG support for Annual Travel Passes and also a Shuttle Bus to/from Uxbridge Tube Station.
401886,IHG-Hotels-and-Resorts,10/11/2015, Distribution & Commercial Marketing,"Denham, South East England, England, England",5,Great company to work for,IHG offers a great work life balance. Having a gym downstairs certainly is a big plus. The atmosphere in the office and amongst teams is generally really good and supportive. The multi-cultural atmosphere makes it easy for new starters to find their feet.,Being a global company can sometimes mean that there are a long ways to go before decisions are made and changes implemented. Progression sometimes is limited unless you are willing to relocate as many key teams are located in Atlanta.
401887,IHG-Hotels-and-Resorts,12/11/2015, Uxbridge,"Denham, South East England, England, England",5,Great company,"Great atmosphere, clear on objectives and senior leaders are accessible to discuss long term opportunities.  Great people and opportunities to develop your career",None - love the company
401888,IHG-Hotels-and-Resorts,03/01/2016, Reservations Specialist,"Brierley Hill, England, England",5,fantastic company to work for,"great work/home life balance
great staff engagement, we get our chance to have our say about anything
great staff benefits, pension, health care, discounts on hotels and loads of other discounts
feel like your part of a family
get to choose your own hours 5 weeks out of 8",working weekends and bank holidays but you do get double time for bank holidays and only ever work 40 hours a week so time off in the week if you have to work a weekend
401889,IHG-Hotels-and-Resorts,09/01/2016, Head Chef,"Southampton, England, England",5,Head chef,Huge company with lots of opportunities,Variety of employee benefits as some might not attract the same people
401890,IHG-Hotels-and-Resorts,11/01/2016, Front Desk Supervisor,"Denham, South East England, England, England",3,Supervisor,"Plenty of hours,  Team environment","Low Pay, High Turnover, No Benefits"
401891,IHG-Hotels-and-Resorts,12/02/2016, Senior Sales Manager,"Denham, South East England, England, England",5,Senior Sales Manager,Phoenicia Hotel Beirut is one of the biggest operation and the best hotel in Beirut,In the hospitality industry the work Life balance is critical
401892,IHG-Hotels-and-Resorts,17/02/2016, Operations Manager,"Birmingham, England, England",5,"Great company, great prospects....amazing people","Progression, Great Teamwork, Autonomy, 100% focus on employee engagement, literally the best company I have ever worked for, the best call centre I've ever been involved with.","So few and far to mention, in a fast changing environment there is the need to be able to adapt to change quickly....it's not a ""con""...it's another plus."
401893,IHG-Hotels-and-Resorts,06/03/2016, Housekeeping Supervisor/Manager,"Denham, South East England, England, England",5,housekeeping supervisor,A very good company to work for they look after their staff,Unsociable hour's in some departments
401894,IHG-Hotels-and-Resorts,28/03/2016, Reservation Specialist,"Denham, South East England, England, England",5,Reservation Specialist,very fun yet competitive enivronment.,when you first start you will have to work the late shift.
401895,IHG-Hotels-and-Resorts,25/04/2016, Guest Services Manager,"Luton, East of England, England, England",2,Guest service manager,"Free meals and uniform, team is good and hard working. You get to meet people from all walks of life.","Pay is bad, bonus structure is laughable, it adds up to barely Â£30.00/month, no real support from managers, managers do not care as long as it does not affect them directly or their wages/bonuses"
401896,IHG-Hotels-and-Resorts,30/04/2016, Specialist,"Dudley, England, England",5,Great company to work for,As this is a multinational organisation there are so many opportunities. Great benefits. Would love to work here again. They continue to grow because they look after their people,There are the odd few managers who could do with a bit more training on people management but the majority are very competent
401897,IHG-Hotels-and-Resorts,12/05/2016, ,"Denham, South East England, England, England",5,InterContinental Hotels Group (IHG),"IHG is a top notch corporation with a solid company culture, excellent salary and benefits.",There aren't any cons this is a great company
401898,IHG-Hotels-and-Resorts,24/05/2016, F & B Supervisor,"London, England, England",4,F & B supervisor,"fair pay, good team ethics, fun environment","long hours, lack of social life due to shift work"
401899,IHG-Hotels-and-Resorts,04/06/2016, Director Corporate,"Denham, South East England, England, England",5,You get what you give - a great place to work,"Have a great boss and VP who care for my development and work / life balance. Lots of opportunities for personal growth and the opportunity to travel as well as contribute to different working parties if that is your thing. Always lots of resources to help improve performance with the hotels. Good appraisal system, employee survey, benefits and PDP process that live the ways and values of the company. Global HQ is a lovely place to come to work in with a gym and Starbucks coffee Shop and there is always something going on to communicate our latest brand initiative or when something new comes out. There is generally good collaboration across functions and lots of resources to set out measurements and what success looks like. The most professional company I have worked for with the best guest loyalty program and lots of focussed and well known brands.","We can forget we are a hospitality company. You have to be prepared to network and work across different functions, personalities and manage the self importance of some senior management. The company does not tolerate poor performance but it can take a year or two before you see action and this can be frustrating. Sometimes we don't live our 'Winning Ways' and we create a bubble in our corporate offices that everything is super when we are not always consistent at hotel level. The hotels don't get to see the impact of a new tool or initiative as we can be too busy creating the next big thing. Be prepared to be part of a matrix organisation where it is difficult to turn the ship around quickly and be responsive to our hotel owners and properties when linking in with non hotel facing colleagues."
401900,IHG-Hotels-and-Resorts,06/06/2016, Revenue Assistant/Reservations,"London, England, England",2,revenue assistant/reservations,benefit package- anniversary weekend and other IHG manager hotels discounts,"very low pat, high expectations"
401901,IHG-Hotels-and-Resorts,20/06/2016, Director Human Resources,"London, England, England",5,HR Director,"Great colleagues, very collaborative culture, great values, good location/ offices","Slow to make decisions, location not suitable for everyone"
401902,IHG-Hotels-and-Resorts,30/06/2016, Anonymous Employee,"Denham, South East England, England, England",4,Great Career Progression,"Under the right manager, you will be encouraged to develop, empowered and move across the business.
Great employee benefits, people and ethics",Usual blue chip red tape
401903,IHG-Hotels-and-Resorts,15/07/2016, Project Director,"Denham, South East England, England, England",4,Director,"Good supportive culture.  Equal opportunity, room to grow.","Plenty of work to do, and often overloaded with Programmes"
401904,IHG-Hotels-and-Resorts,07/09/2016, Human Resources Manager,"Newcastle upon Tyne, England, England",5,Global organisation with great opportunities,Great team and fantastic hotel.,Time consuming systems that don't help to get the job done.
401905,IHG-Hotels-and-Resorts,08/09/2016, ,"Denham, South East England, England, England",4,Good place to work in right department,"-life work balance
-great maternity benefits
-great team and co-workers
-like the changing environment and always new projects to prove yourself 
-Senior leadership is amazingly commercial aware and talent oriented .They can spot talented people miles away)","Manager level so depends who is your direct reporting:
-clock watching
-hard to be promoted even if you are already doing next level job
-no interest in career development and no efforts to develop further skills)
-promotion is applied on the principle : does not matter what you know but who you know)"
401906,IHG-Hotels-and-Resorts,28/09/2016, Manager,"London, England, England",4,Good Hotel,"New hotel, lovely rooms, great views, nice staff.",Not in Centre London as you would think but i am happy
401907,IHG-Hotels-and-Resorts,13/10/2016, HRBP,"Uxbridge, England, England",4,Fantastic company with great opportunities. Could be even better!,"Positive culture
Great people
Lots of development opportunities 
Trust based company
Good values especially around doing the right thing
Good public profile","Leadership at senior level could be better in some functions 
Often too positive in culture to the detriment of rigour and getting things done
Career progression can be limited in HR roles
Disconnection between corporate and hotel businesses"
401908,IHG-Hotels-and-Resorts,21/10/2016, Anonymous Employee,"Denham, South East England, England, England",2,Don't join the HR Department,"Nice office
Fun activities
International Organisation
Bonus scheme","Big staff & budget cuts
No leadership
Too many projects with little resources
Many departures within the department in the past 12 months"
401909,IHG-Hotels-and-Resorts,02/11/2016, CORPORATE Food and Beverage CONTRACTS and VENDOR FUNDS PROGRAM MANAGER,"Denham, South East England, England, England",5,Corporate F&B Contract and Vendor Funds Program Manager,Great culture. Work /Life balance is important to management.,Some management does not believe in Work from home.
401910,IHG-Hotels-and-Resorts,11/11/2016, Anonymous Employee,"Birmingham, England, England",1,Poor Management,Established processes and global company,Wrong implementation and management of processes
401911,IHG-Hotels-and-Resorts,18/02/2017, Investment Analyst,"Denham, South East England, England, England",5,Investment Analyst,Great working and corporate culture in  one of the largest hotel companies in the world,Large organisation has very bureaucratic processes
401912,IHG-Hotels-and-Resorts,23/02/2017, ,"London, England, England",4,Good Company,Good Company to work for.,"Bad Pay Good Benifits, woeklife balance"
401913,IHG-Hotels-and-Resorts,04/04/2017, Personal Assistant,"Denham, South East England, England, England",5,Personal Assistant,IHG looks after their staff with excellent emoluments and perks.  Staff treated with respect and wonderful working environment with great people to work with and for.,Only con is where the head office is based but this is compensated by shuttle bus that is provided by the company to assist staff with transportation.
401914,IHG-Hotels-and-Resorts,15/04/2017, Director,"Denham, South East England, England, England",1,Lots of redundancies,The people you work with,They have lots of restructures and redundancies. Every year I worked there a different restructure happened with redundancies
401915,IHG-Hotels-and-Resorts,17/04/2017, Anonymous Employee,"Denham, South East England, England, England",2,InterContinental Hotels Group,"Good pay, good benefits, nice site","Very Political, improvised decisions, isolated location,  lots of redundancies"
401916,IHG-Hotels-and-Resorts,23/04/2017, Anonymous Employee,"Brierley Hill, England, England",5,Very good company to work for,"Worked at IHG UKCRO from 2008-2017, Great job, Great staff and management. Benefits and commission structure very good",Shift work and getting a great work life balance. This is to be expected in a contact centre so not exactly a con for all but maybe for some.
401917,IHG-Hotels-and-Resorts,04/05/2017, Area Revenue Manager,"London, England, England",5,Area Revenue Manager,"Fantastic benefits, fair pay, good bonus scheme and very structured and professional business","Can be overly bureaucratic, restrictive and inward looking. Sometimes suffers from big company syndrome e.g our way is the best without consulting"
401918,IHG-Hotels-and-Resorts,28/05/2017, Project Manager,"Brierley Hill, England, England",5,"Great place to work, puts people before process","They put people first and genuinely care about engagement. They are guest focus, and try new things. They have a dedicated week specifically to celebrate service of their employees","Size of the company can be difficult to be agile in decision making. 
Development speed can be slow 
Can lead to frustration when you are reporting into someone in a different time zone"
401919,IHG-Hotels-and-Resorts,20/06/2017, Anonymous Employee,"Denham, South East England, England, England",4,Great Company,"Even though i was made redundant (twice) and saw a lot of changes, overall i have to say that IHG is a great employer
Pros
 - employee benefits
- flexible working hours
- beautiful office
- town halls were usually engaging","- if you're not in their future plans they will get rid of you 
- SLT can be unapproachable despite trying to convey a different story
- work/life balance"
401920,IHG-Hotels-and-Resorts,04/07/2017, Anonymous Employee,"Denham, South East England, England, England",3,5 potential start,A great company that is full of experienced teams to develop and manage hotels.,Most of the current management have been with the company for a long time and struggle with change and corporate governance.
401921,IHG-Hotels-and-Resorts,13/07/2017, ,"Denham, South East England, England, England",5,Career enhancing company,Committed developer of people with a rewarding performance culture,Availability of roles and progression to director level
401922,IHG-Hotels-and-Resorts,08/08/2017, Anonymous Employee,"Denham, South East England, England, England",3,Business Development,"Great employee benefits and working at HQ gave you direct insight on the new upcoming campaigns and updates about the company. 
Working in a global company like IHG does give a fantastic overview of an international company and learn about working with various departments and hotels around the world at once.",Not enough training was provided when on the job and lack of support from HR when there were clear departmental issues.
401923,IHG-Hotels-and-Resorts,09/08/2017, Banquet Server,"Glasgow, Scotland, Scotland",3,"Good people, long hours and no benefits","Fun people to work with. 
Great job for a student","Long hours 
No benefits"
401924,IHG-Hotels-and-Resorts,16/08/2017, Anonymous Employee,"Birmingham, England, England",4,Reservation agent,Loved the diversity of the calls and booking the hotels. Able to make decisions on the best option for the customer. Plenty of tools to use to help you.,"Introduced a tier system,so if you were good at what you did, you were given more calls."
401925,IHG-Hotels-and-Resorts,30/08/2017, ,"Manchester, England, England",4,Reception,IHG rewards schemes + benefits,Long hours and working shifts
401926,IHG-Hotels-and-Resorts,11/09/2017, Performance Marketing Manager,"Denham, South East England, England, England",4,"Great company to work for, Great team support,  Great culture value","Work-Life Balance, great work environment, you get rewarded for hard work  and you feel valued!",Getting to office from central a bit of a journey. But they allow flexible working.
401927,IHG-Hotels-and-Resorts,27/09/2017, Anonymous Employee,"Denham, South East England, England, England",4,Overall a great place to work,"- Very friendly and collaborative culture and values
- Good long-term personal growth opportunities
- Good work-life balance
- Great corporate offices (Denham) and facilities (free in-house gym, subsidised cafeteria)","- Some very long-serving employees resistant to change
- Lacking 'oomph' of a fast-paced business environment
- Location of Corporate Offices (Denham, Buckinghamshire - 30 mins commute to central London)"
401928,IHG-Hotels-and-Resorts,03/10/2017, Food and Beverage Assistant,"Birmingham, England, England",5,Employee rate rocks!,Great staff discount across the world,When staff rate is not available
401929,IHG-Hotels-and-Resorts,08/11/2017, Anonymous Employee,"London, England, England",2,Entry Level,"Location, Office space, Good team spirit within the dep.","Lack of teamwork between departments, procedures not followed and Mgt focus mainly on their own departments needs while ignoring rules and their impact on other departments."
401930,IHG-Hotels-and-Resorts,17/11/2017, Administrative Assistant,"London, England, England",4,"Reputable, forward looking, good ideals, high expectations",You feel a sense of pride working for a company which has won numerous awards and has a social and environmental conscience.  The staff benefits are numerous and good.  There are opportunities for advancement and career training. The company uses up to date technology and keeps up with the times.  The company cares intensely about its customers.,"I see people who are overworked due to inadequate staffing.  Staff are told to ""work smarter"" to get through their workload.  Colleagues suffering from stress and even heart attack.  Some staff exits/redundancies are handled heartlessly."
401931,IHG-Hotels-and-Resorts,17/11/2017, Project Coordinator,"Denham, South East England, England, England",5,Great Work Culture,"Great work culture, good work/life balance","Not at the moment, loving it so far"
401932,IHG-Hotels-and-Resorts,17/11/2017, Sales Executive,"Branston, West Midlands, England, England",5,Love my job!,Ability to grow with the Job over the years. Great supportive environment. Excellent Team work strategies. Recognition for achievements is paramount. Friendly and professional.,"Franchised Hotels often misunderstand IHG support and systems used, are not fully understood, causing valuable time in calls and discussions on using the booking system."
401933,IHG-Hotels-and-Resorts,18/11/2017, Anonymous Employee,"Denham, South East England, England, England",4,IHG is a great employer. I am proud to work for the company.,Without question the best company I have ever worked for. Fantastic culture; great opportunities; great facilities; good staff discount,There are very few cons.
401934,IHG-Hotels-and-Resorts,18/11/2017, Anonymous Employee,"Denham, South East England, England, England",5,IHG has a great employee culture and incredible career opportunities,"Career opportunities, both domestic and international are incredible. IHG has a very clear purpose and bold ambitions, underpinned by the strong culture of a responsible and trustworthy business - both for employees, guests and owners. The employee culture promises 'Room to be Yourself' - recognition, growth, collaboration etc.  which like all the best things at IHG, came from employees. In hotels and at corporate offices, the company truly listens to and cares about its employees.","The company has historically been risk averse and in some respects slow to change, however there is a genuine ambition and momentum to becoming more agile and to simply make things easier to get done."
401935,IHG-Hotels-and-Resorts,27/11/2017, Human Resources,"Denham, South East England, England, England",5,IHG Corporate Office Review,"A fantastic culture with great, talented people. 
An open and honest transparent culture. 
A real commitment to invest in growing/developing people.
Flexibility in the work place for the right balance. 
Recognition for good work!
Fantastic events set up for employees and heaps to get involved in.","As IHG is hugely matrixed, it can be harder and longer to get ideas and new ways of thinking over the line. 
There are heaps of processes/procedures to get simple tasks done as anticipated for a global organisation.  
Other than that - a fab place to work!"
401936,IHG-Hotels-and-Resorts,30/11/2017, Anonymous Employee,"London, England, England",3,Good company culture but a little to risk averse,#NAME?,#NAME?
401937,IHG-Hotels-and-Resorts,12/12/2017, FOH Staff,"Newcastle upon Tyne, England, England",1,Fair and non-discriminatory culture,Various employment contracts to accommodate different personal backgrounds,Disciplinary procedures applied to exert control
401938,IHG-Hotels-and-Resorts,29/12/2017, Anonymous Employee,"Newcastle, England, England",1,Hawthornes Resturaunt - Newcastle,"Staff are okay,.. They seem friendly enough.","Payments wrong, NO training, rushed, took me over a month to receive missing payments. Vegetarian food was cooked and prepared using the same cookery as meat!!"
401939,IHG-Hotels-and-Resorts,19/01/2018, Plannng Manager,"Denham, South East England, England, England",4,Planning Manager,"Flexibility over when you complete hours
Great benefits, including cheaper hotel rooms","Big, international company, means you can't get China, US & UK all talking at once"
401940,IHG-Hotels-and-Resorts,30/01/2018, Director,"Denham, South East England, England, England",4,Great place to wor,"Work:life balance
Interesting industry
Good opportunities
Great people",Can be slow paced and company focus is not in Europe
401941,IHG-Hotels-and-Resorts,15/02/2018, Anonymous Employee,"London, England, England",4,great company but reorg could change that,"really positive company culture and great people
great brands
making changes to organization for the right reasons","lack of transparency and clarity around pending reorganization 
lack of visibility of senior leadership (SVP and above are not generally visible)
key jobs are moving to Atlanta (and London has became a token HQ)
limited upward movement opportunities given the reorganization taking place"
401942,IHG-Hotels-and-Resorts,06/03/2018, Guest Relations Team Leader,"London, England, England",4,Good,"Staff rate, benefits, options to relocate","Slow growth, very corporate oriented service"
401943,IHG-Hotels-and-Resorts,24/03/2018, Digital Marketing Manager,"Solihull, England, England",4,Digital Marketing Roles,Very friendly environment; Easy to approach senior management; Great benefits and work and life balance,US-centred approach; Slow and at time bureaucratic; Remote location for HQ
401944,IHG-Hotels-and-Resorts,24/03/2018, General Customer Service Assistant,"Birmingham, England, England",3,bad hours,Great team work and company culture.,"The shift patterns are horrific, not given 11 hours in-between shifts."
401945,IHG-Hotels-and-Resorts,31/03/2018, Anonymous Employee,"London, England, England",3,low salary,meals on duty and flexible shift,low salary and long hours standing up
401946,IHG-Hotels-and-Resorts,16/05/2018, Anonymous Employee,"Denham, South East England, England, England",5,Online marketing,"Great benefits
Flexibility
Multicultural environment
Management is very approachable",Lack of professional development at junior level
401947,IHG-Hotels-and-Resorts,30/05/2018, Marketing Coordinator,"Gurgaon, Haryana, Haryana",1,No progression,Good company to pop onto your CV,"No progression
Favouritism 
Lack of rewards"
401948,IHG-Hotels-and-Resorts,13/08/2018, Sales Executive,Bangalore Rural,4,Current Company,The company is structured and stable.,Franchising is rampant in most IHG hotels nowadays.
401949,IHG-Hotels-and-Resorts,29/08/2018, Anonymous Employee,Bangalore,4,Great place to work,"Great team work
Global company
Good Benefits
lovely office",Cant think of any cons
401950,IHG-Hotels-and-Resorts,30/08/2018, Assistant Night Manager,Thiruvananthapuram,5,CP,"Treated fairly, great progression ladder, great discounts",Wish to see more IHG owners about
401951,IHG-Hotels-and-Resorts,19/09/2018, Marketigng & Sales Manager,Chennai,5,Fantastic company,Lot of changes going on but the company is really fun and gives you a lot of oppurtunities to grow,sometimes a bit hard to comunicate
401952,IHG-Hotels-and-Resorts,25/09/2018, Anonymous Employee,Cochin,3,Challenging members of snr mgt,"Good benefits, some great people across the organization.",One highly erratic and unprofessional member of senior mgt.
401953,IHG-Hotels-and-Resorts,27/09/2018, Anonymous Employee,"Gurgaon, Haryana, Haryana",5,IHG workspace,Work life balance and Teamwork spirit,"Compensation and benefits should be enhanced
Far from the city centre"
401954,IHG-Hotels-and-Resorts,19/10/2018, Pa to Vice President,"Denham, South East England, England, England",3,Lots of changes and not for the better,"Good salaries, working conditions and package","Huge re-org  with new CEO.  Redundancies handled really badly by the company, lost some really great talent.  You are a number not a name."
401955,IHG-Hotels-and-Resorts,26/10/2018, Front Office Manager,"Leicester, England, England",3,Front Office Manager,"IHG points, Employee rate hotel discount","Not too good Work-Life balance, Salary"
401956,IHG-Hotels-and-Resorts,12/11/2018, F & B Assistant,"Eastleigh, England, England",3,Understaffed and underappreciated,"Flexible hours with friendly co-workers, the job by itself is ok and gives many opportunities to interact with guests","Understaffed with no appreciation for the work being done, almost 0 managers making for a hectic work environment"
