id,firm,date_review,job_title,location,overall_rating,headline,pros,cons,reviewText,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Sentiment
162405,Crowne-Plaza-Hotels-and-Resorts,29/04/2021, Valet Attendant,,5,Excellent customer service 6plus years.,"Job advancement 
Tips
Practice different work skills",Not having my own transportation,"Excellent customer service 6plus years. Job advancement 
Tips
Practice different work skills Not having my own transportation",0.024471581,0.20644525,0.7690832,Positive Sentiment
162406,Crowne-Plaza-Hotels-and-Resorts,03/05/2021, Server/Waiter,"Manchester, England, England",5,Good workplace,good hours good environment tips,busy not really any cons,Good workplace good hours good environment tips busy not really any cons,0.018820474,0.14228982,0.8388897,Positive Sentiment
162407,Crowne-Plaza-Hotels-and-Resorts,04/05/2021, Group Reservation Executive,Canberra,3,Group Reservation Executive,"Friendly colleague, lots of events and free ticket perks",Management doesn't care and this job is a 2 person jobs into 1person workload,"Group Reservation Executive Friendly colleague, lots of events and free ticket perks Management doesn't care and this job is a 2 person jobs into 1person workload",0.05346011,0.41377768,0.5327622,Positive Sentiment
162408,Crowne-Plaza-Hotels-and-Resorts,04/05/2021, Sales Coordinator,Pune,5,Great room to learn,The staff is very corporative,Salary don't come on time,Great room to learn The staff is very corporative Salary don't come on time,0.023770457,0.20446955,0.77176,Positive Sentiment
162409,Crowne-Plaza-Hotels-and-Resorts,07/05/2021, Reservations Supervisor,"London, England, England",5,great place to work. like a family,colleagues feel like second family,professionnal development can be difficult,great place to work. like a family colleagues feel like second family professionnal development can be difficult,0.083968714,0.26788872,0.6481425,Positive Sentiment
162410,Crowne-Plaza-Hotels-and-Resorts,10/05/2021, Anonymous Employee,,4,Good place for a student job,"fun and helpful team, flexible shifts,",late or long hours occasionally for big events,"Good place for a student job fun and helpful team, flexible shifts, late or long hours occasionally for big events",0.002051609,0.046352565,0.9515958,Positive Sentiment
162411,Crowne-Plaza-Hotels-and-Resorts,10/05/2021, Golf Course Maintenance,"Lake Placid, NY",3,Awesome,Fresh air Sunshine and relaxation,Weather and nature plus stimulation and dedication,Awesome Fresh air Sunshine and relaxation Weather and nature plus stimulation and dedication,0.001463653,0.023372035,0.9751643,Positive Sentiment
162412,Crowne-Plaza-Hotels-and-Resorts,15/05/2021, Bartender,"Dayton, OH",2,Horrible management,Employee meals and discounted hotel rooms,Always short on supplies. Even lemons. Owners are horrible.,Horrible management Employee meals and discounted hotel rooms Always short on supplies. Even lemons. Owners are horrible.,0.97071373,0.025930151,0.00335619,Negative Sentiment
162413,Crowne-Plaza-Hotels-and-Resorts,17/05/2021, Food and Beverage Assistant,,4,"Great, flexible company if you are willing to put in hard work","Zero Hour contract so great if you are at university
Always hours going",Often have to work through breaks,"Great, flexible company if you are willing to put in hard work Zero Hour contract so great if you are at university
Always hours going Often have to work through breaks",0.021010632,0.13390978,0.8450796,Positive Sentiment
162414,Crowne-Plaza-Hotels-and-Resorts,19/05/2021, Accounts Associate,,4,average,"good facilities, best infrastructure, nice food","low salary, too much politics","average good facilities, best infrastructure, nice food low salary, too much politics",0.055452712,0.20299576,0.7415515,Positive Sentiment
162415,Crowne-Plaza-Hotels-and-Resorts,24/05/2021, Food and Beverage,,2,average,good quality job with options,"bad management, felt undervalued and extra option","average good quality job with options bad management, felt undervalued and extra option",0.36401317,0.41783538,0.21815142,Neutral Sentiment
162416,Crowne-Plaza-Hotels-and-Resorts,24/05/2021, Operations Manager,Nairobi,5,Career Opportunity,"Career Prospect New, Responsibilty, New Responsibilty, Career Growth","Guest Demands.
Unsatisfied Guest.
Not meeting targets","Career Opportunity Career Prospect New, Responsibilty, New Responsibilty, Career Growth Guest Demands.
Unsatisfied Guest.
Not meeting targets",0.45081985,0.4623481,0.08683205,Neutral Sentiment
162417,Crowne-Plaza-Hotels-and-Resorts,25/05/2021, Guest Relations Manager,"Stratford-upon-Avon, England, England",4,Great place,"Team work, 
culture
, diversity , 
Flexibility , 
compensation","Timings , Schedule , top management, low pay, Food vouchers","Great place Team work, 
culture
, diversity , 
Flexibility , 
compensation Timings , Schedule , top management, low pay, Food vouchers",0.012658883,0.12428352,0.86305755,Positive Sentiment
162418,Crowne-Plaza-Hotels-and-Resorts,27/05/2021, Hotel Receptionist,,2,Could be better,Great kitchen staff and views of the river.,"Very bad managers .
No organization.","Could be better Great kitchen staff and views of the river. Very bad managers .
No organization.",0.49771872,0.3517841,0.15049711,Negative Sentiment
162419,Crowne-Plaza-Hotels-and-Resorts,29/05/2021, Food and Beverage Attendant I,Terrigal,4,Great Place to Work for Uni Students,"Competitive hourly rate, especially with weekend and public holiday loading. Great hours during school holidays, food provided in staff canteen, approachable management.","Shortage of hours during quiet times of year, employee feedback not considered or implemented enough","Great Place to Work for Uni Students Competitive hourly rate, especially with weekend and public holiday loading. Great hours during school holidays, food provided in staff canteen, approachable management. Shortage of hours during quiet times of year, employee feedback not considered or implemented enough",0.014550652,0.0720142,0.9134351,Positive Sentiment
162420,Crowne-Plaza-Hotels-and-Resorts,03/06/2021, Key Account Manager (KAM),"Jaipur, Rajasthan, Rajasthan",3,Review for KAM,"Network with colleagues and clients , opportunities, flexibility","Slow growth, increment is limited.","Review for KAM Network with colleagues and clients , opportunities, flexibility Slow growth, increment is limited.",0.016004033,0.5579323,0.42606375,Neutral Sentiment
162421,Crowne-Plaza-Hotels-and-Resorts,03/06/2021, Sales Manager,,4,Sales or Business development along with more than 10 years of Work Experience.,Interaction with top leading clienteles to maintain the relationship and sale the luxury to them.,Less chances of International exposure for Sales & Marketing department internally.,Sales or Business development along with more than 10 years of Work Experience. Interaction with top leading clienteles to maintain the relationship and sale the luxury to them. Less chances of International exposure for Sales & Marketing department internally.,0.044842426,0.6430071,0.3121505,Neutral Sentiment
162422,Crowne-Plaza-Hotels-and-Resorts,05/06/2021, Server/Waiter,"Newcastle upon Tyne, England, England",4,Good for students,Good pay and zero hour contract for students. Staff were mostly friendly and helpful.,Management was constantly in disarray with upper staff turnover quite high.,Good for students Good pay and zero hour contract for students. Staff were mostly friendly and helpful. Management was constantly in disarray with upper staff turnover quite high.,0.05321094,0.18881589,0.75797313,Positive Sentiment
168203,Dalata-Hotel-Group,05/08/2016, ,,4,good atmosphere,"nice people, good atmosphere, good tips","long hours sometimes, hard work","good atmosphere nice people, good atmosphere, good tips long hours sometimes, hard work",0.004753448,0.053926017,0.94132054,Positive Sentiment
168204,Dalata-Hotel-Group,31/03/2017, Supervisor,"Dublin, Dublin",1,Insulting,"None, I honestly have nothing positive to say about this company!","Shameful treatment of staff, you are not a person to the management, you are a number. Your needs as an employee are not met either financially or aesthetically, if you are in need of a job to pay for essentials then do not work here, your hours are an obstacle which need to be cut. I have worked for many companies, hotels and other places too and have never felt so unappreciated and unimportant despite being qualified and experienced. A dispicable company!","Insulting None, I honestly have nothing positive to say about this company! Shameful treatment of staff, you are not a person to the management, you are a number. Your needs as an employee are not met either financially or aesthetically, if you are in need of a job to pay for essentials then do not work here, your hours are an obstacle which need to be cut. I have worked for many companies, hotels and other places too and have never felt so unappreciated and unimportant despite being qualified and experienced. A dispicable company!",0.94808674,0.046464823,0.005448356,Negative Sentiment
168205,Dalata-Hotel-Group,30/06/2017, Anonymous Employee,"Dublin, Dublin",1,Stay Far Away!,Free lunch (if there's such thing as one),"Shocking work life balance. Long hours are expected of you and constant heavy work load.

Very low salary.","Stay Far Away! Free lunch (if there's such thing as one) Shocking work life balance. Long hours are expected of you and constant heavy work load.

Very low salary.",0.71667176,0.2374349,0.04589333,Negative Sentiment
168206,Dalata-Hotel-Group,30/06/2017, Anonymous Employee,,2,A meat grinder,"New positions open all the time, varied schedule","Salaried employees expected to work many hours overtime for free.  Hotel manager was all about making their reports look good, not what was best for employee or customer.
V","A meat grinder New positions open all the time, varied schedule Salaried employees expected to work many hours overtime for free.  Hotel manager was all about making their reports look good, not what was best for employee or customer.
V",0.37308133,0.5201467,0.1067719,Neutral Sentiment
168207,Dalata-Hotel-Group,04/07/2017, Anonymous Employee,"Dublin, Dublin",5,Good Opportunities for Career progression,"The group is growing and there are job opportunities coming from that growth. Plus I'm on one of the Development Programme, so Dalata really cares about me and my career.
I love working in hotels and I'm hoping that with the training I get here, I'll be able to get promoted soon.",None that i can think of,"Good Opportunities for Career progression The group is growing and there are job opportunities coming from that growth. Plus I'm on one of the Development Programme, so Dalata really cares about me and my career.
I love working in hotels and I'm hoping that with the training I get here, I'll be able to get promoted soon. None that i can think of",0.002638812,0.021660827,0.9757003,Positive Sentiment
168208,Dalata-Hotel-Group,06/07/2017, General Manager,"Dublin, Dublin",5,Good  and Fair company to work for,"Lots of training, good company to work for, very professional people.
By far the best company I worked for,","no many, I am happy","Good  and Fair company to work for Lots of training, good company to work for, very professional people.
By far the best company I worked for, no many, I am happy",0.002343261,0.016036293,0.98162043,Positive Sentiment
168209,Dalata-Hotel-Group,10/07/2017, Regional Human Resources Manager,Wexford,5,Regional HR Manager,"Excellent Company to work for, committed to development and training of their staff. This company is growing week on week within Ireland, Northern Ireland and the UK which means plenty of opportunities for anyone within the team.",I currently don't have any downsides to working within this group,"Regional HR Manager Excellent Company to work for, committed to development and training of their staff. This company is growing week on week within Ireland, Northern Ireland and the UK which means plenty of opportunities for anyone within the team. I currently don't have any downsides to working within this group",0.002362126,0.02889483,0.9687431,Positive Sentiment
168210,Dalata-Hotel-Group,11/07/2017, Anonymous Employee,,5,A Great Company to Work For :),"I worked in one of Dalata Hotel Group's Dublin City Center properties for 4 years in a management position and really loved it! I recently left the company to take up an opportunity abroad. 

There was great learning and development opportunities for employees at all levels of the business. They really do promote from within and I know if I wanted to stay in the country I really could have worked anywhere in Ireland or the UK and grown my career with the company.",I've no complaints from my time with Dalata - all positive!,"A Great Company to Work For :) I worked in one of Dalata Hotel Group's Dublin City Center properties for 4 years in a management position and really loved it! I recently left the company to take up an opportunity abroad. 

There was great learning and development opportunities for employees at all levels of the business. They really do promote from within and I know if I wanted to stay in the country I really could have worked anywhere in Ireland or the UK and grown my career with the company. I've no complaints from my time with Dalata - all positive!",0.001826321,0.013921599,0.98425204,Positive Sentiment
168211,Dalata-Hotel-Group,03/08/2017, Anonymous Employee,,1,Good for beginning and experience.,"Chance to change departments inside the company. 
Good experience.",Low salary. Bad environment.,"Good for beginning and experience. Chance to change departments inside the company. 
Good experience. Low salary. Bad environment.",0.10565948,0.3321832,0.56215733,Positive Sentiment
168212,Dalata-Hotel-Group,11/09/2017, Anonymous Employee,"Dublin, Dublin",3,Food & Beverage,"Good staff, friendly place to work","High staff turnover, lack of management support","Food & Beverage Good staff, friendly place to work High staff turnover, lack of management support",0.03422245,0.19369917,0.7720784,Positive Sentiment
168213,Dalata-Hotel-Group,21/10/2017, Anonymous Employee,,1,George Hook springs to mind.Dalata clean up IN-HOUSE first before you try and fool the public that you care.,"Plenty of praises everyday from management building you up as if you have been the best person for that position that you have been employed 
for, but it does wear tin after a while when you look at your wages. 10 euro P/H No pension schemes -No medicare nothing at all set up by this Successful IRISH Company for its 2500 plus employees which they are very proud of so they keep stating.If your young and want a career in the Hotel Industry please steer clear of this Company.Find a small family run Hotel.Look this looks like a Irish success but it's not for its employees we are been left behind while management manage us like SALVES and treet us like SLAVES.
Shame on you Dalata.    I meet some lovely people while working for Dalata and still stay in touch with them. There's one Pro.",Double Standard's spring to mind 1 rule for them (Dalata) and another one for its employees.,"George Hook springs to mind.Dalata clean up IN-HOUSE first before you try and fool the public that you care. Plenty of praises everyday from management building you up as if you have been the best person for that position that you have been employed 
for, but it does wear tin after a while when you look at your wages. 10 euro P/H No pension schemes -No medicare nothing at all set up by this Successful IRISH Company for its 2500 plus employees which they are very proud of so they keep stating.If your young and want a career in the Hotel Industry please steer clear of this Company.Find a small family run Hotel.Look this looks like a Irish success but it's not for its employees we are been left behind while management manage us like SALVES and treet us like SLAVES.
Shame on you Dalata.    I meet some lovely people while working for Dalata and still stay in touch with them. There's one Pro. Double Standard's spring to mind 1 rule for them (Dalata) and another one for its employees.",0.16092138,0.43203512,0.40704352,Neutral Sentiment
168214,Dalata-Hotel-Group,24/10/2017, Revenue Manager,Galway,4,Improving,"Career Opportunities are good 
This company is improving YOY with salaries & benefits",Salaries slightly below industry average,"Improving Career Opportunities are good 
This company is improving YOY with salaries & benefits Salaries slightly below industry average",0.003331427,0.05321166,0.94345695,Positive Sentiment
168215,Dalata-Hotel-Group,04/11/2017, F & B Assistant,"Dublin, Dublin",3,Ok for temporary job as F&B assistant.,Team building activities. Reward systems to motivate employees. Good flexibility of shifts in accordance with my College duties.,"Dalata seeks for high service level with fewer resources possible, that means an increase of workload for the single employee which lead to quite stressful conditions.","Ok for temporary job as F&B assistant. Team building activities. Reward systems to motivate employees. Good flexibility of shifts in accordance with my College duties. Dalata seeks for high service level with fewer resources possible, that means an increase of workload for the single employee which lead to quite stressful conditions.",0.23686685,0.54885817,0.21427503,Neutral Sentiment
168216,Dalata-Hotel-Group,07/11/2017, Anonymous Employee,,4,Co-ordinator,"A fast paced, growing company",Were not very felixble with working hours,"Co-ordinator A fast paced, growing company Were not very felixble with working hours",0.12794526,0.6440787,0.22797613,Neutral Sentiment
168217,Dalata-Hotel-Group,04/01/2018, Anonymous Employee,,3,Not recognised for hardwork,"Great team, good work life balance","Not much growth, no staff incentives","Not recognised for hardwork Great team, good work life balance Not much growth, no staff incentives",0.40838316,0.4099942,0.18162265,Neutral Sentiment
168218,Dalata-Hotel-Group,25/01/2018, Anonymous Employee,,4,Food and Beverage Assistant,"Friendly staff, free food, room for development","Casual hours, minimum wage, quick turnover","Food and Beverage Assistant Friendly staff, free food, room for development Casual hours, minimum wage, quick turnover",0.005492184,0.20461582,0.789892,Positive Sentiment
168219,Dalata-Hotel-Group,27/01/2018, Reservations Supervisor,"London, England, England",4,Great place to work,"Excellent team, lots of training opportunities and possibilities of promotion if you are willing to relocate.","Salaries could be a little better, especially for low entry employees","Great place to work Excellent team, lots of training opportunities and possibilities of promotion if you are willing to relocate. Salaries could be a little better, especially for low entry employees",0.00650397,0.042646177,0.9508498,Positive Sentiment
168220,Dalata-Hotel-Group,08/03/2018, Sales & Marketing Manager,"London, England, England",3,Out of touch,Great career opportunities for newbies in the industry,"Senior Teams struggling for hierarchy,  unprofessional","Out of touch Great career opportunities for newbies in the industry Senior Teams struggling for hierarchy,  unprofessional",0.23520447,0.43373013,0.33106533,Neutral Sentiment
168221,Dalata-Hotel-Group,12/03/2018, Human Resources,"Dublin, Dublin",5,Fantastic Company to work for - All about the People!,"The values that are ingrained in everything we do and in the properties we work in:
1) Our People - You have the opportunity to develop your talent, be recognised and rewarded for your commitment and pursue a fulfilling career.
2) Our Fairness - We pride ourselves on creating an objective, supportive and fair working environment for all employees, the people we deal with and the communities we work within.
3) Our Service - We strive for success, are enthusiastic about what we do and take responsibility for getting things right.
4) Our Individuality - We all bring our own personality, character and enthusiasm ensuring the experience we provide is always warm, welcoming, genuine and friendly.",Nothing that I have come across,"Fantastic Company to work for - All about the People! The values that are ingrained in everything we do and in the properties we work in:
1) Our People - You have the opportunity to develop your talent, be recognised and rewarded for your commitment and pursue a fulfilling career.
2) Our Fairness - We pride ourselves on creating an objective, supportive and fair working environment for all employees, the people we deal with and the communities we work within.
3) Our Service - We strive for success, are enthusiastic about what we do and take responsibility for getting things right.
4) Our Individuality - We all bring our own personality, character and enthusiasm ensuring the experience we provide is always warm, welcoming, genuine and friendly. Nothing that I have come across",0.004953438,0.10737292,0.8876736,Positive Sentiment
168222,Dalata-Hotel-Group,02/04/2018, Duty Manager,Oranmore,2,Pay difference between men and women employed,Worked with some nice staff.,As a female Duty Manager I was paid 2000 less a year than an equally qualified Male Duty Manager at the same hotel,Pay difference between men and women employed Worked with some nice staff. As a female Duty Manager I was paid 2000 less a year than an equally qualified Male Duty Manager at the same hotel,0.17367072,0.46982527,0.35650396,Neutral Sentiment
168223,Dalata-Hotel-Group,04/04/2018, Manager,Galway,1,Manager,Meeting some fantastic hard working staff who truly enjoy their trade.,"Huge turnover of staff across the board .
Bad management ,if you are corrupt you will fit in,if you are not you will pay the price.
very under handed practices ,head office refusal to pay heed to any complaints made .
low pay","Manager Meeting some fantastic hard working staff who truly enjoy their trade. Huge turnover of staff across the board .
Bad management ,if you are corrupt you will fit in,if you are not you will pay the price.
very under handed practices ,head office refusal to pay heed to any complaints made .
low pay",0.26789317,0.37835053,0.35375625,Neutral Sentiment
168224,Dalata-Hotel-Group,06/04/2018, Anonymous Employee,,4,"Overall a good group, like all hotels, there are issues.","Great training 
Recognition and rewards 
Ownership, responsibility and engagement for managers","Long hours - work / life balance 
Lack of organisation - last minute updates / deadlines.
Tight payroll","Overall a good group, like all hotels, there are issues. Great training 
Recognition and rewards 
Ownership, responsibility and engagement for managers Long hours - work / life balance 
Lack of organisation - last minute updates / deadlines.
Tight payroll",0.076671325,0.29882485,0.62450385,Positive Sentiment
168225,Dalata-Hotel-Group,22/04/2018, Anonymous Employee,"Manchester, England, England",3,housekeeper,some staff nice and polite,hard work 21 rooms each day to clean in max 8 hour shift. have finishing time wrote on my sheet at time i should finish. no communication between management and staff . always paid wrong never get what i should. never get help if struggling of supervisors or manager,housekeeper some staff nice and polite hard work 21 rooms each day to clean in max 8 hour shift. have finishing time wrote on my sheet at time i should finish. no communication between management and staff . always paid wrong never get what i should. never get help if struggling of supervisors or manager,0.60506743,0.3198224,0.07511011,Negative Sentiment
168226,Dalata-Hotel-Group,26/05/2018, Marketing Coordinator,"Dublin, Dublin",4,Good working environment,Training opportunities / fair working environment,Lower pay scale but there are opportunities to progress quickly,Good working environment Training opportunities / fair working environment Lower pay scale but there are opportunities to progress quickly,0.002143372,0.05485307,0.9430036,Positive Sentiment
168227,Dalata-Hotel-Group,05/06/2018, Sales & Marketing,"Dublin, Dublin",4,Good to work for!,"Nice company to work for, opportunity to Develop within the group, Good benefits and staff perks.","Demanding at times, long hours which can affect work/life balance.","Good to work for! Nice company to work for, opportunity to Develop within the group, Good benefits and staff perks. Demanding at times, long hours which can affect work/life balance.",0.009905408,0.05847147,0.93162316,Positive Sentiment
168228,Dalata-Hotel-Group,08/08/2018, Anonymous Employee,,3,I was working almost 6 years,Great people to work with,No pay rise just more work,I was working almost 6 years Great people to work with No pay rise just more work,0.015687834,0.13999479,0.8443174,Positive Sentiment
168229,Dalata-Hotel-Group,20/09/2018, Anonymous Employee,,4,Good company but not enough benefits,Lots of training and good experience. Save as you earn scheme and 5% discounted healthcare,"thrown in the deep end, expected to do much more than your job description without the salary or title to reflect it.  Unpaid maternity leave.","Good company but not enough benefits Lots of training and good experience. Save as you earn scheme and 5% discounted healthcare thrown in the deep end, expected to do much more than your job description without the salary or title to reflect it.  Unpaid maternity leave.",0.36248326,0.41063702,0.22687975,Neutral Sentiment
168230,Dalata-Hotel-Group,02/10/2018, Anonymous Employee,,3,Sales & Marketing,Wonderful personal development opportunities to upskill,Unrealistic workload expectations and no work/life balance,Sales & Marketing Wonderful personal development opportunities to upskill Unrealistic workload expectations and no work/life balance,0.038237326,0.30369312,0.6580696,Positive Sentiment
168231,Dalata-Hotel-Group,22/11/2018, Account Assistant,,3,Carrer Opportunities but no perks,"Breakfast and lunch included
work/life balance","underground office, no windows, no sunlight
no perks, no medical insurance
20 days of annual leaves","Carrer Opportunities but no perks Breakfast and lunch included
work/life balance underground office, no windows, no sunlight
no perks, no medical insurance
20 days of annual leaves",0.3371234,0.5547551,0.10812155,Neutral Sentiment
168232,Dalata-Hotel-Group,24/01/2019, Reservation Sales Agent,"Dublin, Dublin",5,"Compared to other hotels, it's a great place to work","Training and development 
Pay is fair (again in the context of hotels which are generally awful)
Management are nice people 
SAYE scheme is good
The company is expanding rapidly so there is lots of room for development",All of the usual in hospitality,"Compared to other hotels, it's a great place to work Training and development 
Pay is fair (again in the context of hotels which are generally awful)
Management are nice people 
SAYE scheme is good
The company is expanding rapidly so there is lots of room for development All of the usual in hospitality",0.014359999,0.0658618,0.91977817,Positive Sentiment
168233,Dalata-Hotel-Group,24/02/2019, Front Desk Receptionist,,4,Good place to work,Great suppirt and developmemt oppertunity,Low pay scale and no benifits for long serving staff,Good place to work Great suppirt and developmemt oppertunity Low pay scale and no benifits for long serving staff,0.004867381,0.04022235,0.9549103,Positive Sentiment
168234,Dalata-Hotel-Group,23/03/2019, Night Porter,"Tallaght, Dublin, Dublin",4,Very good great for trainings,"Treated very fairly,good people, perfect for anyone starting there career for experience",Guests can be hard to deal with sometimes,"Very good great for trainings Treated very fairly,good people, perfect for anyone starting there career for experience Guests can be hard to deal with sometimes",0.010655612,0.046575766,0.94276863,Positive Sentiment
168235,Dalata-Hotel-Group,22/04/2019, Food and Beverage Assistant,Galway,4,Excellent place to work for but a huge amount is expected of employees at busy times,"-  excellent ethos - teamwork strongly encouraged and staff are well-looked after to the best of their ability
- plenty of hours if you're willing to work hard
- great opportunities for promotion and new experiences
- managers are friendly and easy-to-work-with","- never really know when you're going to be finish, can often be at more than hour after you're meant to and more than two hours after at busy times
- often short-staffed
- working conditions can sometimes be difficult e.g. supply of utensils very low","Excellent place to work for but a huge amount is expected of employees at busy times -  excellent ethos - teamwork strongly encouraged and staff are well-looked after to the best of their ability
- plenty of hours if you're willing to work hard
- great opportunities for promotion and new experiences
- managers are friendly and easy-to-work-with - never really know when you're going to be finish, can often be at more than hour after you're meant to and more than two hours after at busy times
- often short-staffed
- working conditions can sometimes be difficult e.g. supply of utensils very low",0.029923232,0.154265,0.81581175,Positive Sentiment
168236,Dalata-Hotel-Group,20/05/2019, Front Office Manager,Cork,5,Great Career Progression Opportunities,Great Career Progression Training for every level,Expect hard work and positive attitude,Great Career Progression Opportunities Great Career Progression Training for every level Expect hard work and positive attitude,0.00181086,0.03958443,0.9586047,Positive Sentiment
168237,Dalata-Hotel-Group,04/07/2019, Marketing Representative,Wexford,2,Accounting Assistant,"Early Hours, self-drected, quiet office",They try and get you to work extra hours unpaid,"Accounting Assistant Early Hours, self-drected, quiet office They try and get you to work extra hours unpaid",0.14416772,0.79280806,0.06302415,Neutral Sentiment
168238,Dalata-Hotel-Group,13/07/2019, Anonymous Employee,"Dublin, Dublin",2,F&B Assistant,"If you have another job it's nice to compliment your hours.
Tommy is the best supervisor in the restaurant.","A lot of Politics between Supervisors, Lots of huge EGOS, they only look for themselves. They are 2 different people, one in front of Higher Position staff and another when they are with the lower position staff. between their war, the staff is the one who suffers the most.
People are treated differently, it depends on your connections and how long you work there.
Not enough hours and they get really upset if they ""need"" you and you say no because they forget you're a human being. I've seen a lot of GREAT STAFF leaving and is still happening. They need BETTER Supervisors not ""old or Bubbly and not professional ones"".","F&B Assistant If you have another job it's nice to compliment your hours.
Tommy is the best supervisor in the restaurant. A lot of Politics between Supervisors, Lots of huge EGOS, they only look for themselves. They are 2 different people, one in front of Higher Position staff and another when they are with the lower position staff. between their war, the staff is the one who suffers the most.
People are treated differently, it depends on your connections and how long you work there.
Not enough hours and they get really upset if they ""need"" you and you say no because they forget you're a human being. I've seen a lot of GREAT STAFF leaving and is still happening. They need BETTER Supervisors not ""old or Bubbly and not professional ones"".",0.58628815,0.33349723,0.08021468,Negative Sentiment
168239,Dalata-Hotel-Group,09/08/2019, Anonymous Employee,,5,Great Place to Work,Great team to work with with so many development opportunity's for employees at all levels.,There is no Cons to working with Dalata it is an exciting and progressive company and its a great company to be part of.,Great Place to Work Great team to work with with so many development opportunity's for employees at all levels. There is no Cons to working with Dalata it is an exciting and progressive company and its a great company to be part of.,0.001329671,0.010242812,0.98842746,Positive Sentiment
168240,Dalata-Hotel-Group,10/08/2019," Groups, Conferences & Events Executive","Dublin, Dublin",4,"Generating meeting and events enquiries, quoting the events, upselling and confirming the bookings",Great experience opportunities inside the company.,None at the moment.,"Generating meeting and events enquiries, quoting the events, upselling and confirming the bookings Great experience opportunities inside the company. None at the moment.",0.023955403,0.2805428,0.6955018,Positive Sentiment
168241,Dalata-Hotel-Group,20/08/2019, Front Desk Agent,,3,Could be better,Get to work with some great people,"Poor salary 
Poor working conditions 
Poor standard of meals on duty","Could be better Get to work with some great people Poor salary 
Poor working conditions 
Poor standard of meals on duty",0.26585606,0.37966353,0.35448042,Neutral Sentiment
168242,Dalata-Hotel-Group,26/08/2019, Accommodation Assistant,"Dublin, Dublin",4,Nice,I love the atmosphere . Good place to work.,Really busy and you need to be very fast to clean the rooms,Nice I love the atmosphere . Good place to work. Really busy and you need to be very fast to clean the rooms,0.00992654,0.030064985,0.9600085,Positive Sentiment
168243,Dalata-Hotel-Group,04/09/2019, Anonymous Employee,,5,Great team,People are very involved and driven many opportunities,If you are not ready to work you will be swallowed up very fast pace,Great team People are very involved and driven many opportunities If you are not ready to work you will be swallowed up very fast pace,0.027472124,0.13317154,0.83935636,Positive Sentiment
168244,Dalata-Hotel-Group,23/09/2019, Anonymous Employee,,4,accommodation assistant,good work and life balance,management is so friendly to employees,accommodation assistant good work and life balance management is so friendly to employees,0.001860008,0.025707418,0.9724326,Positive Sentiment
168245,Dalata-Hotel-Group,01/10/2019, Accountant,"Dublin, Dublin",5,Great Company to work for,"Flexible working hours, Strong management team and very approachable, Great culture in the Group, Good opportunities to progress in the Group",No cons at the moment,"Great Company to work for Flexible working hours, Strong management team and very approachable, Great culture in the Group, Good opportunities to progress in the Group No cons at the moment",0.001844961,0.024247572,0.9739075,Positive Sentiment
168246,Dalata-Hotel-Group,06/10/2019, CRO,Portlaoise,5,Great Place To Work,"Good Training, Great Manager, Excellent Colleagues","None, Great Place to work","Great Place To Work Good Training, Great Manager, Excellent Colleagues None, Great Place to work",0.004700123,0.033529475,0.9617705,Positive Sentiment
168247,Dalata-Hotel-Group,08/10/2019, Anonymous Employee,,4,Pretty good but wages lacking,"Good working environment
Opportunities for progression
Plenty of training","Wages low, even in comparison to others in the industry
Not many benefits available","Pretty good but wages lacking Good working environment
Opportunities for progression
Plenty of training Wages low, even in comparison to others in the industry
Not many benefits available",0.0934489,0.28990003,0.61665106,Positive Sentiment
168248,Dalata-Hotel-Group,13/10/2019, Reception Supervisor,"Leeds, England, England",5,Excellent Company Values and Culture,"The Dalata Group really champions training and giving their staff members opportunities to progress within the business. I feel comfortable and supported in my position and know that I can ask for any assistance or further training when needed and have already had the opportunity to take part in the Navigate programme to help me identify strengths and opportunities for my own career ahead. The company is growing with more hotels opening so lots more opportunities are being made available which are worth grasping. In my particular hotel the management team are really great and the GM is very friendly and down to earth, and has a keen genuine interest in the well-being of the staff, very easy to talk to too if there are any problems.  Overall I'm very happy with the company and would highly recommend them to anyone looking for a secure position within a hospitality career path.","Only some slight disorganisation when it comes to staffing levels at times not just within my own department, the nights team do tend to struggle a lot with pust pressure on the front desk team. I don't mind being asked once in a while to help above and beyond but sometimes these can become regular expectations beyond a contractual agreement which is a bit unfair to staff members in terms of added pressure.","Excellent Company Values and Culture The Dalata Group really champions training and giving their staff members opportunities to progress within the business. I feel comfortable and supported in my position and know that I can ask for any assistance or further training when needed and have already had the opportunity to take part in the Navigate programme to help me identify strengths and opportunities for my own career ahead. The company is growing with more hotels opening so lots more opportunities are being made available which are worth grasping. In my particular hotel the management team are really great and the GM is very friendly and down to earth, and has a keen genuine interest in the well-being of the staff, very easy to talk to too if there are any problems.  Overall I'm very happy with the company and would highly recommend them to anyone looking for a secure position within a hospitality career path. Only some slight disorganisation when it comes to staffing levels at times not just within my own department, the nights team do tend to struggle a lot with pust pressure on the front desk team. I don't mind being asked once in a while to help above and beyond but sometimes these can become regular expectations beyond a contractual agreement which is a bit unfair to staff members in terms of added pressure.",0.008951075,0.059852865,0.93119603,Positive Sentiment
